epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2568.75,0.51193,0.59527,0.85913,0.88679,0.84276,0.90295,0.89524,0.79294,0.6031,0.73593,0.92646,0.000108619,0.000108619,0.000108619
101,2594.12,0.51337,0.60927,0.86291,0.90411,0.83301,0.89545,0.88873,0.80041,0.58941,0.82929,0.91778,0.000107565,0.000107565,0.000107565
102,2619.51,0.50182,0.61695,0.85566,0.8681,0.82234,0.90042,0.89378,0.79362,0.61251,0.85657,0.93239,0.000106511,0.000106511,0.000106511
103,2644.85,0.52152,0.612,0.85407,0.85945,0.82939,0.88989,0.88327,0.78305,0.61526,0.85165,0.9312,0.000105456,0.000105456,0.000105456
104,2670.3,0.51889,0.61989,0.86582,0.85445,0.84687,0.9142,0.91056,0.82111,0.56816,0.76729,0.90791,0.000104402,0.000104402,0.000104402
105,2695.84,0.52305,0.5929,0.86557,0.80426,0.87122,0.91581,0.90854,0.81948,0.56442,0.76528,0.90247,0.000103348,0.000103348,0.000103348
106,2721.26,0.50588,0.5758,0.86164,0.92456,0.81998,0.89052,0.88732,0.79079,0.60545,0.78936,0.91013,0.000102293,0.000102293,0.000102293
107,2746.72,0.50405,0.5909,0.86012,0.91939,0.82498,0.89858,0.89179,0.79918,0.57936,0.80214,0.90881,0.000101239,0.000101239,0.000101239
108,2772.28,0.49351,0.57223,0.85811,0.81634,0.88435,0.87832,0.87164,0.77393,0.60415,0.81631,0.9242,0.000100185,0.000100185,0.000100185
109,2797.73,0.49535,0.54502,0.85077,0.89587,0.78023,0.90869,0.90154,0.80179,0.58786,0.8216,0.92358,9.91302e-05,9.91302e-05,9.91302e-05
110,2823.15,0.50507,0.5894,0.86648,0.81341,0.8775,0.90837,0.90126,0.78622,0.61447,0.73013,0.93321,9.80758e-05,9.80758e-05,9.80758e-05
111,2848.55,0.51528,0.60307,0.86535,0.91119,0.84292,0.92833,0.92128,0.82232,0.60031,0.68025,0.91897,9.70215e-05,9.70215e-05,9.70215e-05
112,2873.88,0.49207,0.57464,0.85315,0.88303,0.81787,0.91546,0.90743,0.82011,0.54706,0.79263,0.90396,9.59671e-05,9.59671e-05,9.59671e-05
113,2899.35,0.49308,0.56842,0.8492,0.86398,0.82729,0.92763,0.92055,0.82936,0.56556,0.83684,0.90912,9.49128e-05,9.49128e-05,9.49128e-05
114,2924.65,0.48106,0.55756,0.84616,0.92757,0.82321,0.911,0.90413,0.80231,0.5904,0.75398,0.91942,9.38585e-05,9.38585e-05,9.38585e-05
115,2950.05,0.49818,0.55402,0.85247,0.92768,0.83838,0.91222,0.90526,0.81281,0.57622,0.7285,0.91125,9.28041e-05,9.28041e-05,9.28041e-05
